id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Elliott;Lemke-Kuhlman;Leatha_Blanda9@hotmail.com;however owlishly far-flung;2025-03-04T13:24:07;17692;26348
2;Kristy;Casper;Cali64@yahoo.com;roughly incidentally certainly;2025-03-04T15:33:11;28290;288
3;Belle;Lockman;Ryder15@hotmail.com;whale where that;2025-03-04T13:50:57;21663;1232
4;Walker;Adams;Helene.Metz@yahoo.com;ugh;2025-03-05T01:20:42;13148;30369
5;Kyler;Mayert;Daisy_Oberbrunner@hotmail.com;shrill;2025-03-05T02:43:03;26336;27128
6;Ramona;Stamm;Florence.Gusikowski@gmail.com;furiously;2025-03-05T05:37:23;23280;10690
7;Norval;Ledner-Muller;Pinkie.Pacocha97@gmail.com;cemetery yowza;2025-03-04T14:18:07;31309;17697
8;Felicity;Mills;Matilde_Kreiger@yahoo.com;bug nerve;2025-03-04T16:55:23;21946;14239
9;Hoyt;Yundt;Loma.Aufderhar@yahoo.com;silent ick kick;2025-03-05T00:09:17;8758;20894
10;Kevin;Predovic;Rene30@hotmail.com;zebra below;2025-03-04T12:00:43;7990;26649
